,text,user_location,location,Lat,Lon,geometry
5225,ngl bowser’s fury looks... actually really really good? like i did not care for the original 3D world honestly but… https://t.co/mCFjXCcPzA,17/♂/LDS,"伊春林都机场, S303, 伊林经营所, 伊美区, 伊春市, 黑龙江省, 153000, 中国",47.7517627,129.0205478038862,POINT (129.0205478038862 47.7517627)
24185,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,Knowhere ,"Knowhere, King County, Washington, United States",47.6949797,-121.8384137,POINT (-121.8384137 47.6949797)
18466,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,🇮🇹 Italy 🇮🇹,Italia,42.6384261,12.674297,POINT (12.674297 42.6384261)
3836,RT @ImagesEv: Bowser's Fury https://t.co/8NNijprZeT,void,"Le Void, Gerbépal, Saint-Dié-des-Vosges, Vosges, Grand Est, France métropolitaine, 88430, France",48.1393032,6.9233059,POINT (6.9233059 48.1393032)
19148,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,ZAMORA,"Zamora, Castilla y León, España",41.6857693,-5.942315018340977,POINT (-5.942315018340977 41.6857693)
5551,"RT @aitaikimochi: This new Bowser's Fury art is legit, but I can't get over Mario becoming Super Saiyan while wearing a cat suit??? https:/…",slump,"The Slump, Inaccessible Island, Tristan da Cunha, Saint Helena, Ascension and Tristan da Cunha",-37.2953865,-12.6900759,POINT (-12.6900759 -37.2953865)
14084,RT @Nibellion: Official key art for Bowser's Fury https://t.co/FlyRwzo6xP,Earth Land,"Middle Earth, Saint Mary's County, Maryland, 20619, United States",38.3242916,-76.5168989,POINT (-76.5168989 38.3242916)
5322,RT @AC_Roald: bowser’s fury looks absolutely wild https://t.co/xM71zSFz2n,"Los Angeles, CA","Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766,POINT (-118.242766 34.0536909)
11904,"RT @MattMcMuscles: Hmm yes yes. I will be buying Bowser's Fury. BTW, In Nintendo's press release, this new form was dubbed ""God-Slayer Bows…","Texas, USA","Texas, United States",31.8160381,-99.5120986,POINT (-99.5120986 31.8160381)
12840,RT @Mechazawa: Bowser's Fury https://t.co/GUqNBjbSpm,Poland,Polska,52.215933,19.134422,POINT (19.134422 52.215933)
291,"RT @NinWire: With Super Mario 3D World + Bowser's Fury on its way, details concerning the second Super Mario Bros. 35th Anniversary collect…","St Petersburg, FL","St. Petersburg, Pinellas County, Florida, United States",27.7703796,-82.6695085,POINT (-82.66950850000001 27.7703796)
6754,Seeing everyone from before the bowser’s fury trailer expecting daisy is honestly hilarious,The banana factory,"Banana Factory, 25, West 3rd Street, Bethlehem, Northampton County, Pennsylvania, 18015, United States",40.6124786,-75.37965243446706,POINT (-75.37965243446706 40.6124786)
19950,"Tbh I'm not sure if I'm gonna wake up early to catch that Bowser's Fury trailer. Six AM, a bit early.
Part of me wa… https://t.co/jdTTXZ7kng",A place somewhere,"Somewhere, 贾汪区, 贾汪区 (Jiawang), 江苏省, 中国",34.4420602,117.5295201,POINT (117.5295201 34.4420602)
6355,@RotesSchaf_ It really fricking does man. I am actually hyped for Bowser's fury,"Madrid, Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4167047,-3.7035825,POINT (-3.7035825 40.4167047)
5365,Bowser's Fury kinda looks boring,(He/They),"They, Saint-Paul-en-Jarez, Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42740, France",45.4500658,4.6051325,POINT (4.6051325 45.4500658)
17724,@NintendoAmerica I still have no idea what bowser's fury is lol,VA,Việt Nam,13.2904027,108.4265113,POINT (108.4265113 13.2904027)
23990,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,Philippines,Philippines,12.7503486,122.7312101,POINT (122.7312101 12.7503486)
2387,RT @NintendoEurope: Something colossal is about to happen! Mario and Bowser Jr. team up for an all-new bonus adventure in #SuperMario3DWorl…,Howard Estate™,"Howard Estate, Bury St Edmunds, West Suffolk, Suffolk, East of England, England, IP32 6PH, United Kingdom",52.2573554,0.6951145,POINT (0.6951145 52.2573554)
1480,RT @UNLEASHEDLIGHT: 🍫 All the bowser accounts running to do Bowser’s new form from the Bowser’s Fury trailer https://t.co/iKUoGm3ldb,United Kingdom,United Kingdom,54.7023545,-3.2765753,POINT (-3.2765753 54.7023545)
18431,My body randomly woke me up but I think it's because Nintendo is about to drop that Bowser's Fury trailer. 🤓,"Las Vegas, NV","Las Vegas, Clark County, Nevada, United States",36.1672559,-115.1485163,POINT (-115.1485163 36.1672559)
15524,"RT @NobodyOfHarambe: Bowser's Fury looks awesome but I'm so confused as to what's going on. Like why does Bowser Jr. helping mario, and why…","Guangzhou, China","广州市, 广东省, 中国",23.1301964,113.2592945,POINT (113.2592945 23.1301964)
21902,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,"Sumter, SC","Sumter, Sumter County, South Carolina, United States",33.9204354,-80.3414693,POINT (-80.3414693 33.9204354)
12405,"So from what I gather, Bowser's Fury is a single player expansion of 3D World that acts more like a traditional 3D… https://t.co/FOKrdZF24Z",Nowhere,"Nowhere, Franklin County, Kansas, United States",38.7311123,-95.2414104,POINT (-95.24141040000001 38.7311123)
10222,"RT @Mustard_Mustach: People: *joking about how Bowser's Fury is just going to add dumb features like Toadette and Nabbit*

Bowser's Fury: h…",UK,United Kingdom,54.7023545,-3.2765753,POINT (-3.2765753 54.7023545)
13452,@scarVii @Pheonixmaster1 Super Mario 3D World Bowser's Fury coming out for switch next month,UK,United Kingdom,54.7023545,-3.2765753,POINT (-3.2765753 54.7023545)
7455,RT @AC_Roald: bowser’s fury looks absolutely wild https://t.co/xM71zSFz2n,Kopfkino,"Kopfkino, 151, August-Bebel-Straße, Mitte, Bielefeld, Nordrhein-Westfalen, 33602, Deutschland",52.0182868,8.5399423,POINT (8.5399423 52.0182868)
13854,RT @NintendoEurope: Something colossal is about to happen! Mario and Bowser Jr. team up for an all-new bonus adventure in #SuperMario3DWorl…,work,"Work, Gifford, Dallas, Dallas County, Texas, 75230, United States",32.8950599,-96.7727807,POINT (-96.7727807 32.8950599)
24806,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,Canada,Canada,61.0666922,-107.9917071,POINT (-107.9917071 61.0666922)
8364,"RT @MattMcMuscles: Hmm yes yes. I will be buying Bowser's Fury. BTW, In Nintendo's press release, this new form was dubbed ""God-Slayer Bows…",Svizzera,Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736,POINT (8.2319736 46.7985624)
22133,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,"Coronel, Chile","Coronel, Provincia de Concepción, Región del Biobío, 4190000, Chile",-37.0164712,-73.1561953,POINT (-73.15619529999999 -37.0164712)
18495,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,United States,United States,39.7837304,-100.4458825,POINT (-100.4458825 39.7837304)
22410,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,"Queens, NY","Queens, Queens County, New York, United States",40.7498243,-73.7976337,POINT (-73.79763370000001 40.7498243)
16518,RT @FinalWeaponX4: Super Mario 3D World + Bowser’s Fury – A Bigger Badder Bowser Trailer https://t.co/fSdAYNtttL https://t.co/UpzTOdUVp3,"Georgia, USA","Georgia, United States",32.3293809,-83.1137366,POINT (-83.1137366 32.3293809)
7733,"With #SuperMario3DWorld + Bowser's Fury launching in one month's time, SuperPhillip Central runs and jumps into thi… https://t.co/cN9kJ28Bbc","St Louis, MO","St. Louis, City of Saint Louis, Madison County, Illinois, United States",38.6529545,-90.24111656024635,POINT (-90.24111656024635 38.6529545)
13498,"RT @videogamedeals: News: ""My Nintendo members who complete the “Purchase the Super Mario™ 3D World + Bowser's Fury game” mission and 14 ad…",2.5D World,"World, Governor Drive, University City, San Diego, San Diego County, California, 92122, United States",32.8548259,-117.2041575,POINT (-117.2041575 32.8548259)
15092,RT @Nibellion: Official key art for Bowser's Fury https://t.co/FlyRwzo6xP,"Topeka, KS","Topeka, Shawnee County, Kansas, United States",39.049011,-95.677556,POINT (-95.677556 39.049011)
22106,RT @NintendoCanada: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to see…,"Calgary, Alberta","Calgary, Alberta, Canada",51.0534234,-114.0625892,POINT (-114.0625892 51.0534234)
17714,RT @NintendoUK: Something colossal is about to happen! Mario and Bowser Jr. team up for an all-new bonus adventure in #SuperMario3DWorld +…,Y tho,"Þórshafnarflugvöllur, Langanesvegur, Þórshöfn, Langanesbyggð, Norðurland eystra, 680, Ísland",66.21603795,-15.335015790733081,POINT (-15.33501579073308 66.21603795)
12199,RT @Nibellion: Official key art for Bowser's Fury https://t.co/FlyRwzo6xP,The North,Norge,60.5000209,9.0999715,POINT (9.099971500000001 60.5000209)
11862,"RT @IGN: We finally have our first look at Bowser's Fury, the new expansion coming alongside the Nintendo Switch port of Super Mario 3D Wor…",Polska,Polska,52.215933,19.134422,POINT (19.134422 52.215933)
