,text,user_location,location,Lat,Lon
77087,Gaetz's speech this afternoon is by itself grounds for censure and removal. It was nothing but lies and conspiracy… https://t.co/X3O5V0m4Yw,"Cincinnati, Ohio","Cincinnati, Hamilton County, Ohio, United States",39.1014537,-84.5124602
32257,"RT @Triquiuela5: Fantastic cover of ""the new european""
#ImpeachmentDay #AmericaOrTrump 
CENSORED
Jim Jordan https://t.co/X6LZSVVTX0",Hell,"Hell, Putnam Township, Livingston County, Michigan, United States",42.4347571,-83.9849477
39367,"RT @alondra87: @Jim_Jordan the gentleman from Ohio is not gentle, neither a man for that matter #ImpeachmentDay #ImpeachTrump","Chicago, IL","Chicago, Cook County, Illinois, United States",41.8755616,-87.6244212
129476,RT @adenolaadewale3: Me opening the door for Nancy Pelosi to impeach that Mf #ImpeachmentDay https://t.co/Oy9iEMzgJE,Haiti,Ayiti,19.1399952,-72.3570972
41751,It seems like Republicans are fight for a prize for being the biggest GOP asshole today. #ImpeachmentDay,"New York, USA","New York, United States",40.7127281,-74.0060152
40748,"RT @davidmweissman: I have yet to see an Antifa member storming the #CapitolBuilding, RT if you haven't seen Antifa as well. #ImpeachmentDa…",Canada,Canada,61.0666922,-107.9917071
97407,"RT @SteveRustad1: Ted Cruz incited violent insurrection.

Expel that traitor from the Senate.

Indict him.

Convict him

Send him to prison…",United States,United States,39.7837304,-100.4458825
46954,Wait! Is there even any organization called Antifa?! I really want to know! Do they come out to say we are Antifa?… https://t.co/3uxkjwlp2R,"Amsterdam, The Netherlands","Amsterdam, Noord-Holland, Nederland",52.3727598,4.8936041
130947,"“They say we are young and we don’t know, won’t find out until we grow...”.  Well, we do know...  it’s… https://t.co/MpZSpueu3r","New York, USA","New York, United States",40.7127281,-74.0060152
65329,"RT @JohnFugelsang: ""But despite 3 recounts &amp; many investigations, the results are clear: Biden won Georgia. The idea that our election was…",Germany,Deutschland,51.0834196,10.4234469
54131,"RT @kirkacevedo: Matt Gaetz is the worst seditious big headed bitch of a human on this entire planet. 

#ImpeachmentDay 
#KidVicious🖕🏽🙄🖕🏽",New Jersey USA,"New Jersey, United States",40.0757384,-74.4041622
78059,.@mattgaetz looks like what happens when you push in the face of a Barbie doll #ImpeachmentDay,United States,United States,39.7837304,-100.4458825
108935,"RT @thehill: Rep. Jim McGovern: ""We all want to talk about unity? I can't think of anything that would unify this country if there was a bi…",Fort Worth,"Fort Worth, Tarrant County, Texas, United States",32.753177,-97.3327459
88123,"RT @RBReich: He incited an attempted coup last Wednesday. Today the House must impeach him. By Friday, the Senate must convict him. He must…","Charlotte, NC","Charlotte, Mecklenburg County, North Carolina, United States",35.2272086,-80.8430827
93720,"RT @EusebiaAq: ""Chuck todd"" is a Member of  #ImpeachmentDay ARE WE IN AMERICA??? Are You SURE??? https://t.co/W2c3UkMCHy",USA,United States,39.7837304,-100.4458825
32756,"RT @HeavyOnDaBlack: #ImpeachmentDay If YOU CANNOT REMOVE A PRESIDENT FOR TRYING TO OVERTHROW GOVERNMENT, THEN WTF CAN YOU REMOVE A PRESIDEN…",Cali,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
21976,"RT @ValentinaAmour: David Scott need more than 30secs, but well said nonetheless #ImpeachmentDay #ImpeachTrump",DMV ™,"Department of Motor Vehicles, 3201, Horseless Carriage Drive, Norco, Riverside County, California, 92860, United States",33.928231499999995,-117.5612436
33743,"RT @tomiahonen: ""When Republicans send us their Presidents, they're not sending their best! Some are rapists, some are terrorists; and some…","California, USA","California, United States",36.7014631,-118.755997
372,#ImpeachmentDay Harden Sterling Jim Jordan #crisiDiGoverno #TekHizmetİstifa #SEVENTEENxKELLY Borel Kyrie Sixers Lau… https://t.co/JkQ7hdGaZ4,Türkiye,Türkiye,38.9597594,34.9249653
67851,"RT @kirkacevedo: Rep Lauren Boebert is the literal
embodiment of diseased phlegm
in the gutter. 

That’s the tweet.

#ImpeachmentDay 
#KidV…","Springfield, Mo","Springfield, Greene County, Missouri, United States",37.2166779,-93.2920373
23121,RT @andrearene: Make note of all the Congressional representatives that are voting in favor of keeping Trump in office. 🧐 🇺🇸#ImpeachmentDay,Oklahoma,"Oklahoma, United States",34.9550817,-97.2684063
78863,"RT @taradublinrocks: The point, @RepDLesko, you seditious traitorous shrew, is to strip Trump of his Secret Service protection, annual sala…",Canada,Canada,61.0666922,-107.9917071
53825,@mtgreenee is the Vicki Gunvalson of the House #ImpeachmentDay #ImpeachTrump,Earth C-137,"Earth, Rosanno Ville, Tandang Sora, 6th District, Quezon City, Metro Manila, 1116, Philippines",14.6761486,121.0348183
13036,"RT @glamelegance: @DonaldJTrumpJr Donald Trump is so horrible, he will go down history as America’s worst excuse for a president, impeached…","Los Angeles, CA","Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766
1274,#Trump has more Impeachments than morals. #ImpeachmentDay,Portugal,Portugal,40.0332629,-7.8896263
95861,"RT @RBReich: He incited an attempted coup last Wednesday. Today the House must impeach him. By Friday, the Senate must convict him. He must…","Anchorage, AK","Anchorage, Alaska, 99501-2118, United States",61.2163129,-149.894852
30282,"RT @HeavyOnDaBlack: #ImpeachmentDay If YOU CANNOT REMOVE A PRESIDENT FOR TRYING TO OVERTHROW GOVERNMENT, THEN WTF CAN YOU REMOVE A PRESIDEN…",United States,United States,39.7837304,-100.4458825
105322,RT @AgeWithRage: #ImpeachmentDay It’s like from one of Rudy Giuliani’s favorite movies “My Cousin Vinny” when he was asked how many times w…,"Hideaway, TX","Hideaway, Smith County, Texas, United States",32.49042,-95.4574572
126631,"RT @DJRuss8: Today’s the day!!!
Ready..... Set.... GO!!!!!

 #ImpeachmentDay https://t.co/jLSCK8cepe","Houston, TX","Houston, Harris County, Texas, United States",29.7589382,-95.3676974
96647,"RT @RBReich: He incited an attempted coup last Wednesday. Today the House must impeach him. By Friday, the Senate must convict him. He must…",Bolivia,Bolivia,-17.0568696,-64.9912286
11467,RT @Siyavashizadi: You can tell who's against the impeachment just by the way they wear their masks #ImpeachmentDay https://t.co/smnVG4vS8n,"Denver, CO","Denver, Calle 16, Yopal, Casanare, Orinoquia, 850001, Colombia",5.3428475,-72.3959849
123768,"RT @DrDenaGrayson: 🚨Ali Alexander, one of the key organizers of the #TrumpInsurrection says he organized the January 6th event with @RepAnd…","New York, USA","New York, United States",40.7127281,-74.0060152
41339,RT @PernicketyPanda: I would like to remind the GOP they impeached a man for lying about a blowjob &amp; obstructing justice. They said those t…,"Utah, USA","Utah, United States",39.4225192,-111.714358
47799,RT @insecure_al: Maxine Waters said all that needs to be said. PERIOD 👀 #ImpeachmentDay https://t.co/IrttSoxJxR,FL,"Florida, United States",27.7567667,-81.4639835
